sequence,frames,wall_latency_ms_mean,wall_latency_ms_p50,wall_latency_ms_p95,wall_fps_mean,model_latency_ms_mean,model_latency_ms_p50,model_latency_ms_p95
v_00HRwkvvjtQ_c001,1162,115.8778,113.8081,151.9569,8.6298,13.4937,13.1237,13.9779
v_00HRwkvvjtQ_c001,1162,98.5606,101.283,127.2813,10.146,12.865,12.7207,13.6695
v_00HRwkvvjtQ_c003,1161,109.2029,105.633,151.3281,9.1573,13.0673,12.9287,13.8958
v_00HRwkvvjtQ_c005,594,103.0544,100.2388,146.869,9.7036,13.1436,12.9843,13.8194
v_00HRwkvvjtQ_c007,707,136.1295,147.332,192.1258,7.3459,13.0848,12.9756,13.7179
v_00HRwkvvjtQ_c008,972,115.7588,112.6711,150.8473,8.6387,13.1449,13.0266,13.8916
v_00HRwkvvjtQ_c011,734,125.4576,127.9638,175.7475,7.9708,13.1558,13.0157,14.0079
v_4r8QL_wglzQ_c001,886,131.65,139.6634,166.7089,7.5959,13.1755,13.042,13.9194
v_5ekaksddqrc_c001,550,103.4124,104.1995,121.3034,9.67,13.1831,13.0489,13.9466
v_5ekaksddqrc_c002,632,96.6722,100.2074,117.3235,10.3442,13.177,13.0633,14.0678
v_5ekaksddqrc_c003,1215,100.1318,103.0818,122.0879,9.9868,13.2416,13.1276,14.0061
v_5ekaksddqrc_c004,824,101.2546,105.5903,134.8473,9.8761,13.2489,13.1435,14.0293
v_5ekaksddqrc_c005,1000,100.6048,103.4571,121.5729,9.9399,13.279,13.1427,14.0797
v_BgwzTUxJaeU_c008,500,111.2419,115.0865,155.8181,8.9894,13.1869,13.0349,13.9982
v_BgwzTUxJaeU_c012,620,148.9127,152.7754,197.9854,6.7153,13.0976,12.9917,13.8571
v_BgwzTUxJaeU_c014,1000,158.5814,160.7977,203.5578,6.3059,13.026,12.895,13.7312
v_0kUtTtmLaJA_c004,542,349.52,361.7345,397.1476,2.8611,13.085,12.9626,13.9676
v_0kUtTtmLaJA_c005,349,355.8425,363.2442,410.9529,2.8102,12.9796,12.9001,13.7216
v_0kUtTtmLaJA_c006,346,330.3885,324.8472,414.3626,3.0267,12.986,12.9188,13.7104
v_0kUtTtmLaJA_c007,271,325.6413,326.5881,383.1662,3.0709,13.2564,13.1861,14.182
v_0kUtTtmLaJA_c008,266,360.6458,365.777,421.4933,2.7728,13.1109,12.9684,13.81
v_0kUtTtmLaJA_c010,270,336.6239,363.5055,385.2181,2.9707,13.1642,13.0204,13.8425
v_4-EmEtrturE_c009,250,62.1783,59.2369,86.953,16.0828,13.0696,12.9834,13.8921
v_9MHDmAMxO5I_c002,239,104.4563,108.8394,149.5139,9.5734,13.0897,12.9582,14.0387
v_9MHDmAMxO5I_c003,226,99.5866,105.3087,127.3402,10.0415,13.0498,12.9457,13.7579
v_9MHDmAMxO5I_c004,455,115.3674,120.626,150.9994,8.668,13.0054,12.8908,13.8073
v_9MHDmAMxO5I_c006,269,96.143,98.6583,136.8572,10.4012,12.9831,12.8791,13.6662
v_9MHDmAMxO5I_c009,507,98.3535,100.0069,140.146,10.1674,12.9656,12.8161,14.0181
v_cC2mHWqMcjk_c007,681,62.0118,62.6628,70.562,16.126,12.9365,12.8393,13.8454
v_cC2mHWqMcjk_c008,259,58.199,58.1079,68.9247,17.1824,13.1092,12.9629,13.9141
v_cC2mHWqMcjk_c009,425,60.0267,59.7128,74.4866,16.6593,13.0848,12.9601,13.8897
v_2QhNRucNC7E_c017,450,82.8687,79.716,114.9804,12.0673,13.1416,13.0189,13.9817
v_dw7LOz17Omg_c053,550,90.972,95.7163,125.297,10.9924,13.1349,13.029,13.9537
v_dw7LOz17Omg_c067,450,60.3263,56.2645,90.2431,16.5765,13.0927,12.9895,13.9684
v_G-vNjfx1GGc_c004,675,78.4348,77.6057,132.6795,12.7494,13.1579,13.0366,14.0483
v_G-vNjfx1GGc_c008,480,40.2116,38.3929,55.0773,24.8684,13.3526,13.2099,14.3708
v_G-vNjfx1GGc_c600,500,86.3495,82.7147,138.2896,11.5808,13.3497,13.2187,14.3374
v_G-vNjfx1GGc_c601,481,42.9249,39.5663,63.2777,23.2965,13.2809,13.1588,14.1319
v_i2_L4qquVg0_c006,888,93.4956,90.4988,145.4388,10.6957,13.2125,13.0752,14.0691
v_i2_L4qquVg0_c007,451,71.9574,60.1536,129.4055,13.8971,13.2367,13.0938,14.1189
v_i2_L4qquVg0_c009,488,88.4561,72.3975,143.3937,11.305,13.2237,13.1006,14.0377
v_i2_L4qquVg0_c010,758,61.8951,55.4878,100.1879,16.1564,13.168,13.0852,13.9504
v_ITo3sCnpw_k_c007,701,107.083,103.2388,162.6273,9.3385,13.2491,13.1455,14.0706
v_ITo3sCnpw_k_c010,560,68.8989,61.2103,119.8935,14.514,13.2391,13.1407,13.9593
v_ITo3sCnpw_k_c011,776,116.1493,120.8063,168.1233,8.6096,13.2374,13.121,14.0512
v_ITo3sCnpw_k_c012,850,73.1145,61.3006,140.6101,13.6772,13.2549,13.1276,14.0422
OVERALL,28132,116.7338,103.1958,326.4457,8.5665,13.1584,13.0324,13.9789
