sequence,MOTA,IDF1,HOTA,IDS
v_00HRwkvvjtQ_c001,0.830436,0.37098,0.35181,211
v_00HRwkvvjtQ_c003,0.855048,0.382683,0.39955,153
v_00HRwkvvjtQ_c005,0.814774,0.421272,0.403163,124
v_00HRwkvvjtQ_c007,0.773924,0.374306,0.354052,153
v_00HRwkvvjtQ_c008,0.787167,0.359738,0.337873,188
v_00HRwkvvjtQ_c011,0.802464,0.412476,0.407082,161
v_4r8QL_wglzQ_c001,0.884883,0.402539,0.420813,148
v_5ekaksddqrc_c001,0.835191,0.588058,0.505339,82
v_5ekaksddqrc_c002,0.883911,0.508769,0.47685,78
v_5ekaksddqrc_c003,0.852881,0.325071,0.358673,164
v_5ekaksddqrc_c004,0.871405,0.363624,0.385391,125
v_5ekaksddqrc_c005,0.865395,0.425903,0.428149,162
v_BgwzTUxJaeU_c008,0.836425,0.465426,0.440358,82
v_BgwzTUxJaeU_c012,0.755904,0.501086,0.4474,187
v_BgwzTUxJaeU_c014,0.755979,0.342765,0.32986,239
v_0kUtTtmLaJA_c004,0.881405,0.587181,0.571456,105
v_0kUtTtmLaJA_c005,0.856223,0.68567,0.625201,62
v_0kUtTtmLaJA_c006,0.835358,0.622808,0.556483,75
v_0kUtTtmLaJA_c007,0.862608,0.70685,0.641664,65
v_0kUtTtmLaJA_c008,0.849884,0.744913,0.6653,67
v_0kUtTtmLaJA_c010,0.843586,0.652365,0.59735,61
v_4-EmEtrturE_c009,0.833393,0.750645,0.68262,23
v_9MHDmAMxO5I_c002,0.810749,0.608468,0.51978,50
v_9MHDmAMxO5I_c003,0.79066,0.625973,0.564841,53
v_9MHDmAMxO5I_c004,0.61454,0.517329,0.457797,100
v_9MHDmAMxO5I_c006,0.742022,0.598342,0.521132,57
v_9MHDmAMxO5I_c009,0.82148,0.570187,0.528905,124
v_cC2mHWqMcjk_c007,0.907579,0.539136,0.532392,115
v_cC2mHWqMcjk_c008,0.870111,0.610429,0.574908,53
v_cC2mHWqMcjk_c009,0.911626,0.656655,0.63081,72
v_2QhNRucNC7E_c017,0.840683,0.671756,0.643486,79
v_dw7LOz17Omg_c053,0.759316,0.590806,0.546419,140
v_dw7LOz17Omg_c067,0.843512,0.71832,0.657772,77
v_G-vNjfx1GGc_c004,0.813813,0.570473,0.538377,100
v_G-vNjfx1GGc_c008,0.815001,0.762809,0.679642,29
v_G-vNjfx1GGc_c600,0.810509,0.560961,0.534935,76
v_G-vNjfx1GGc_c601,0.64134,0.571155,0.483057,89
v_i2_L4qquVg0_c006,0.786807,0.579734,0.549623,147
v_i2_L4qquVg0_c007,0.822701,0.718853,0.660524,50
v_i2_L4qquVg0_c009,0.799269,0.682464,0.628744,113
v_i2_L4qquVg0_c010,0.842169,0.447708,0.461269,181
v_ITo3sCnpw_k_c007,0.738139,0.494515,0.487966,228
v_ITo3sCnpw_k_c010,0.846463,0.719002,0.658949,74
v_ITo3sCnpw_k_c011,0.782662,0.487557,0.480677,190
v_ITo3sCnpw_k_c012,0.821178,0.468772,0.494362,120
OVERALL,0.817294,0.519622,0.516062,5032
